Cheddar,semi-hard,cow,United Kingdom,FALSE,/images/cheese1.jpg,https://en.wikipedia.org/wiki/File:Somerset-Cheddar.jpg,https://en.wikipedia.org/wiki/Cheddar_cheese
Parmesan,granular,cow,Italy,FALSE,/images/cheese2.jpg,https://en.wikipedia.org/wiki/Parmesan#/media/File:Parmesan_Cheese_Parmigiano-Reggiano.jpg,https://en.wikipedia.org/wiki/Parmesan
Roquefort,veined,sheep,France,TRUE,/images/cheese3.jpg,https://en.wikipedia.org/wiki/Roquefort#/media/File:Wikicheese_-_Roquefort_-_20150417_-_003.jpg,https://en.wikipedia.org/wiki/Roquefort
Coulommiers,soft-ripened,cow,France,FALSE,/images/cheese4.jpg,https://en.wikipedia.org/wiki/File:Coulommiers_lait_cru.jpg,https://en.wikipedia.org/wiki/Coulommiers_cheese
Valencay,creamy,goat,France,TRUE,/images/cheese5.jpg,https://en.wikipedia.org/wiki/File:Valen%C3%A7ay_04.jpg,https://en.wikipedia.org/wiki/Valen%C3%A7ay_cheese
Brie,soft-ripened,cow,France,FALSE,/images/cheese6.jpg,https://en.wikipedia.org/wiki/File:Brie_01.jpg,https://en.wikipedia.org/wiki/Brie
Havarti,semi-soft,cow,Denmark,FALSE,/images/cheese7.jpg,https://en.wikipedia.org/wiki/File:Tilsiter.jpg,https://en.wikipedia.org/wiki/Havarti
Herve,washed-rind,cow,Belgium,FALSE,/images/cheese8.jpg,https://en.wikipedia.org/wiki/Limburger#/media/File:Remoudou_(cheese).jpg,https://en.wikipedia.org/wiki/Limburger
Danbo,semi-soft,cow,Denmark,FALSE,/images/cheese9.jpg,https://en.wikipedia.org/wiki/File:Danbo_Cheese.jpg,https://en.wikipedia.org/wiki/Danbo
Danish Blue,veined,cow,Denmark,TRUE,/images/cheese10.jpg,https://en.wikipedia.org/wiki/Danish_Blue_Cheese#/media/File:Danish_Blue_cheese.jpg,https://en.wikipedia.org/wiki/Danish_Blue_Cheese
Esrom,semi-soft,cow,Denmark,FALSE,/images/cheese11.jpg,https://en.wikipedia.org/wiki/File:Esrom.jpg,https://en.wikipedia.org/wiki/Esrom
Feta,crumbly,sheep,Greece,FALSE,/images/cheese12.jpg,https://en.wikipedia.org/wiki/Feta#/media/File:Feta_Cheese.jpg,https://en.wikipedia.org/wiki/Feta
Kefalotyri,granular,sheep,Greece,FALSE,/images/cheese13.jpg,https://en.wikipedia.org/wiki/Kefalotyri#/media/File:Kefalotyri.jpg,https://en.wikipedia.org/wiki/Kefalotyri
Manouri,creamy,sheep,Greece,FALSE,/images/cheese14.jpg,https://en.wikipedia.org/wiki/Manouri#/media/File:Manouri.jpg,https://en.wikipedia.org/wiki/Manouri
Metsovone,semi-hard,cow,Greece,FALSE,/images/cheese15.jpg,https://en.wikipedia.org/wiki/Metsovone#/media/File:%CE%9C%CE%B5%CF%84%CF%83%CE%BF%CE%B2%CF%8C%CE%BD%CE%B5_6304.jpg,https://en.wikipedia.org/wiki/Metsovone
Mizithra,creamy,goat,Greece,FALSE,/images/cheese16.jpg,https://en.wikipedia.org/wiki/Mizithra#/media/File:Homemade_Mizithra.jpg,https://en.wikipedia.org/wiki/Mizithra
Urda,creamy,cow,Hungary,FALSE,/images/cheese17.jpg,https://en.wikipedia.org/wiki/Urd%C4%83#/media/File:Orda-sajt.jpg,https://en.wikipedia.org/wiki/Urd%C4%83
Liptauer,creamy,sheep,Hungary,FALSE,/images/cheese18.jpg,https://en.wikipedia.org/wiki/File:Liptauer.jpg,https://en.wikipedia.org/wiki/Liptauer
Norvegia,semi-soft,cow,Norway,FALSE,/images/cheese19.jpg,https://en.wikipedia.org/wiki/Norvegia#/media/File:Norvegia_Vellagret.JPG,https://en.wikipedia.org/wiki/Norvegia
Stilton,veined,cow,United Kingdom,TRUE,/images/cheese20.jpg,https://en.wikipedia.org/wiki/Stilton_cheese#/media/File:Blue_Stilton_01.jpg,https://en.wikipedia.org/wiki/Stilton_cheese
Stinking Bishop,washed-rind,cow,United Kingdom,FALSE,/images/cheese21.jpg,https://en.wikipedia.org/wiki/Stinking_Bishop_(cheese)#/media/File:A_slice_of_Stinking_Bishop_cheese.jpg,https://en.wikipedia.org/wiki/Stinking_Bishop_(cheese)
Epoisses,washed-rind,cow,France,FALSE,/images/cheese22.jpg,https://en.wikipedia.org/wiki/%C3%89poisses#/media/File:Epoisses_Bourgogne_cheese_and_wine.jpg,https://en.wikipedia.org/wiki/%C3%89poisses
Langres,washed-rind,cow,France,FALSE,/images/cheese23.jpg,https://en.wikipedia.org/wiki/Langres_cheese#/media/File:Langres_fromage_AOP_coupe.jpg,https://en.wikipedia.org/wiki/Langres_cheese
Fontina,washed-rind,cow,Italy,FALSE,/images/cheese24.jpg,https://en.wikipedia.org/wiki/Fontina#/media/File:Fontina_PDO.jpg,https://en.wikipedia.org/wiki/Fontina
Munster,washed-rind,cow,France,FALSE,/images/cheese25.jpg,https://en.wikipedia.org/wiki/Munster_cheese#/media/File:Munster.jpg,https://en.wikipedia.org/wiki/Munster_cheese
Gorgonzola,veined,cow,Italy,TRUE,/images/cheese26.jpg,https://en.wikipedia.org/wiki/File:A_big_blue_cheese_from_Holiday_Inn_Golden_Mile_Hong_Kong.jpg,https://en.wikipedia.org/wiki/Gorgonzola
Tzfat,creamy,cow,Israel,FALSE,/images/cheese27.jpg,https://en.wikipedia.org/wiki/Tzfat_cheese#/media/File:Safed_cheese.jpg,https://en.wikipedia.org/wiki/Tzfat_cheese
Greve,semi-soft,cow,Sweden,FALSE,/images/cheese28.jpg,https://en.wikipedia.org/wiki/Grev%C3%A9#/media/File:Wedge_of_Swedish_Grev%C3%A9_cheese.jpg,https://en.wikipedia.org/wiki/Grev%C3%A9
Adelost,veined,cow,Sweden,TRUE,/images/cheese29.jpg,https://en.wikipedia.org/wiki/%C3%84delost#/media/File:%C3%84delost_2018.jpg,https://en.wikipedia.org/wiki/%C3%84delost
